VehicleId,VIN,Make,Model,Year,MarketValue,TelematicsScore,PriorDamageFlag
VEH-00032,IEPXJXZOXLUSIDGGF,Toyota,Camry,2019,52288.93,78.6,False
VEH-00033,ZXGAQPZNRKWGICKLK,Jeep,Grand Cherokee,2022,12407.78,84.5,True
VEH-00034,KQJVUEWCOWFOEQXOC,Ford,F-150,2024,52659.78,63.3,False
VEH-00035,QNHYXYEDCCPUGTHOR,BMW,3 Series,2021,36890.61,90.8,False
VEH-00036,VQLIKLYPYXLPEHQYO,BMW,3 Series,2021,29723.67,77.3,False
VEH-00037,HZWWFYEMAGICKOEGP,Jeep,Grand Cherokee,2019,35156.96,62.3,False
VEH-00038,RNJLKXMTHQOAZVUHE,Honda,Accord,2018,37773.69,70.3,False
VEH-00039,REENLKPABPCIKLKIO,Chevrolet,Silverado,2017,34391.64,66.1,False
VEH-00040,GCKJDKQLHZMKOBUUQ,Hyundai,Elantra,2022,22397.93,69.0,False
VEH-00041,SFNCMEEKOAMJYLXLN,Subaru,Outback,2016,40619.71,96.0,False
VEH-00042,QGQKURVDMLEOYYIGB,Hyundai,Elantra,2025,45979.66,67.7,False
VEH-00043,MHGRAJMGLENMCYIGW,Chevrolet,Silverado,2025,15853.51,70.4,False
VEH-00044,HFEQIMIAXRPBHAXCS,Toyota,Camry,2017,45460.91,83.2,False
VEH-00045,HBOZEYXYWLZVWSKGB,Tesla,Model 3,2022,14720.27,86.9,False
VEH-00046,IQEXOFSMIAQMATVYA,Tesla,Model 3,2023,33839.15,77.1,False
VEH-00047,KHHHAYPNSZUAXGJBP,Jeep,Grand Cherokee,2020,36770.83,61.0,False
VEH-00048,LQQIBKXNRRZWNAJYJ,Hyundai,Elantra,2024,52736.17,99.0,False
VEH-00049,ELXJJEQTKWXTZVIQH,Tesla,Model 3,2024,10850.66,89.5,False
VEH-00050,VOCYSKGNGZYVZJNSR,Subaru,Outback,2019,17348.5,82.8,False
VEH-00051,TDKYOAZFJEMBFEQOX,Subaru,Outback,2016,30620.48,75.9,False
VEH-00052,FMCUYZNPHSTMDXLOF,Honda,Accord,2017,24170.97,87.1,False
VEH-00053,CAMQZHSMCYMGHSONK,Jeep,Grand Cherokee,2023,10688.07,63.4,False
VEH-00054,RCXPPAKFRXZWQZZLM,Honda,Accord,2021,48785.89,92.2,True
VEH-00055,HAVTEFJSUJLWWROMM,BMW,3 Series,2022,28009.39,67.3,False
VEH-00056,DZKAQLAGGJEGSVHZG,Subaru,Outback,2025,29333.88,62.0,False
VEH-00057,QIYKQSCYKEXPWVXDR,Ford,F-150,2019,29153.34,87.2,False
VEH-00058,DLBEHQEYOYORSOZUA,Hyundai,Elantra,2018,41650.01,72.1,True
VEH-00059,WHIASQPSFZRVVEJLE,Jeep,Grand Cherokee,2016,19336.23,92.8,False
VEH-00060,UWNKRLVRMFVMPVPQN,Honda,Accord,2025,47278.59,79.4,False
VEH-00061,OMPNWJXGHFRQFNAWI,BMW,3 Series,2019,28112.56,78.8,False
VEH-00062,CEXNUFKRFLWGRZOWK,Subaru,Outback,2023,15653.53,67.4,False
VEH-00063,IDHZBEICGWZRXLDHS,Ford,F-150,2016,21707.38,90.8,False
VEH-00064,HDUSAARNYLGUXNQLJ,BMW,3 Series,2019,46745.28,71.0,False
VEH-00065,QPRENVXLFBNASWXXZ,Hyundai,Elantra,2024,54949.51,79.1,False
VEH-00066,RCLKIKROGURZPJBYM,BMW,3 Series,2022,24875.7,81.5,False
VEH-00067,JZVJEZALAFIOHIUUY,Subaru,Outback,2020,49001.68,98.3,False
VEH-00068,FTQJKDZGSKDNQEOGC,Jeep,Grand Cherokee,2018,48376.6,76.0,False
VEH-00069,VVQXXJJZQWBAHWRMM,Subaru,Outback,2021,26759.62,85.9,False
VEH-00070,KKPPILXSWURGFXVCF,Ford,F-150,2022,53381.92,64.9,False
VEH-00071,YNSDOJKOZVAONKZEF,Nissan,Altima,2016,49212.76,77.2,False
VEH-00072,KVOUUPSTRMPZRCXXV,Subaru,Outback,2015,42232.42,76.0,False
VEH-00073,LHCAKLBIUPQQVSVFN,Ford,F-150,2016,30596.57,97.8,False
VEH-00074,KZGGEEJDBXZHWFGQN,Jeep,Grand Cherokee,2025,12694.5,72.8,False
VEH-00075,JFPYTOPVSCOIIHKBC,BMW,3 Series,2021,52890.42,84.4,False
VEH-00076,QWUEDIRJCISILLMDO,Subaru,Outback,2023,10651.36,62.7,False
VEH-00077,VOKBHOOITWEIOZFCT,Tesla,Model 3,2018,43351.25,76.9,False
VEH-00078,XAQJTAAHWIWSEIASF,Honda,Accord,2022,16652.78,71.7,True
VEH-00079,WETAXBZSMOYAJXMAJ,Nissan,Altima,2015,22494.92,74.6,False
VEH-00080,BZPKTVPYYOQFBOPHW,BMW,3 Series,2021,35032.69,90.9,False
VEH-00081,ZNZSRRSPVIZRAMELI,Honda,Accord,2024,49058.62,84.2,False
VEH-00082,SHODNCRSNFMUBJDIB,Hyundai,Elantra,2017,19680.67,84.9,False
VEH-00083,LGSRITCUAOFJAFNVA,Toyota,Camry,2022,50455.63,86.4,False
VEH-00084,TYZFXDSYCVFWJDRXZ,Subaru,Outback,2020,54431.98,71.7,False
VEH-00085,EIELMQYAHXTPYXCPV,Tesla,Model 3,2022,47883.98,67.8,False
VEH-00086,CMDVXGHQNEYRTUKOU,Subaru,Outback,2016,19911.46,82.3,False
VEH-00087,CVJHHQEOTMXDQNHPO,Tesla,Model 3,2015,53985.45,85.7,False
VEH-00088,BUAKYRLHZYPACLYSE,Hyundai,Elantra,2025,44802.33,98.0,False
VEH-00089,SMJXXFPKFFRNVWODD,Subaru,Outback,2019,44684.09,69.0,False
VEH-00090,WPJSIYGIFOUJYPWWZ,Chevrolet,Silverado,2025,17746.07,69.8,False
VEH-00091,CUMBSYWUIQCFTCJSI,Ford,F-150,2025,13469.54,84.5,True
VEH-00092,SFMKLIWUUDRMJKEHJ,Subaru,Outback,2015,35660.4,88.6,False
VEH-00093,CSQIXDAXOGYULBNXX,Tesla,Model 3,2020,43384.12,66.8,False
VEH-00094,NPUUEQIYMHRFXJJNS,BMW,3 Series,2020,33419.21,95.6,False
VEH-00095,UAPUHGHQECILCMGFM,Tesla,Model 3,2022,53499.67,71.5,False
VEH-00096,GCKPYQFHNSLQDXOMT,Honda,Accord,2022,53293.09,65.5,False
VEH-00097,EANPFFDZODXJVAXYT,Jeep,Grand Cherokee,2023,25825.65,90.8,True
VEH-00098,DNRHCUETENHGGUOIY,BMW,3 Series,2016,29920.16,86.2,False
VEH-00099,MMHQPKOLJVJAVGXOK,Hyundai,Elantra,2021,46831.2,96.7,False
VEH-00100,WRDSQBGKYLJZGVQKI,Chevrolet,Silverado,2022,10151.13,94.5,False
VEH-00101,MCWUJUXAWOBUUMPKI,Hyundai,Elantra,2018,38792.01,84.8,False
VEH-00102,NYXJVQXCCZAUCSMBH,Tesla,Model 3,2025,27781.61,65.5,False
VEH-00103,ITATONUBXSRJGJKKJ,Tesla,Model 3,2022,14341.54,69.2,False
VEH-00104,GCDWJIQXLPOQZTFKZ,Jeep,Grand Cherokee,2022,26066.53,97.0,False
VEH-00105,KNUEUUYELFSSKGMPT,BMW,3 Series,2021,36017.66,88.3,False
VEH-00106,CUZKYFXDXVWBAHXOV,Honda,Accord,2022,37320.0,96.6,False
VEH-00107,PMAOXOYDTHCUIKJUG,Nissan,Altima,2018,29395.62,97.1,False
VEH-00108,SOJDRUZCWMKGFOBSY,Honda,Accord,2025,25897.41,95.2,False
VEH-00109,ZJIVFEKVDJZQFZGBX,Toyota,Camry,2021,21690.55,97.8,False
VEH-00110,SIWIEJMFZPKMJNVHP,Subaru,Outback,2016,39487.36,85.0,False
VEH-00111,PERXBURKFHQABXWMU,Toyota,Camry,2015,45192.55,69.5,False
VEH-00112,WMPBXTKWNZCNJCCOM,Hyundai,Elantra,2018,12156.07,89.8,False
VEH-00113,RXJWUFHVDPNJSAVSZ,Chevrolet,Silverado,2018,24113.74,65.8,False
VEH-00114,HTCEBVNVINNIHWQJE,Toyota,Camry,2019,48486.68,65.6,False
VEH-00115,NUJSSQBYLQHCQKDSM,Tesla,Model 3,2017,14056.61,93.8,False
VEH-00116,YSNRDDPAEYQRQQXGB,Nissan,Altima,2018,36087.23,60.6,False
VEH-00117,SPYOYGTGUFMIFLMGD,Ford,F-150,2021,33199.93,89.1,False
VEH-00118,JTBCPHTVFZVKBWRWW,Nissan,Altima,2023,36308.64,77.6,False
VEH-00119,OTPGRZDOQYBJROJVZ,Hyundai,Elantra,2015,42453.18,95.4,False
VEH-00120,QIFUYHRNOROAPKJBT,Tesla,Model 3,2022,38593.67,61.2,False
VEH-00121,MVCIINPILIRZMITST,Jeep,Grand Cherokee,2021,40560.48,79.1,False
VEH-00122,HIBXJPKKUEJIUHLUJ,Honda,Accord,2016,23817.14,65.8,False
VEH-00123,UBWUAATCVOVRJXMGI,Hyundai,Elantra,2025,35926.78,87.8,False
VEH-00124,LBWNNRMKNOMOORBWF,Hyundai,Elantra,2023,22565.3,79.7,False
VEH-00125,SXEIGMETPXLYFEIKM,Honda,Accord,2025,38942.17,90.0,False
VEH-00126,OCAWARAOVQMWNELCN,Chevrolet,Silverado,2021,29771.53,68.9,False
VEH-00127,FSUDPBZXCMVYUUZNV,Subaru,Outback,2021,28135.52,63.7,False
VEH-00128,KMIHPTYCHGCDCPHIZ,Tesla,Model 3,2020,52865.26,86.8,False
VEH-00129,VCJYHWODMSCZTXSDK,Honda,Accord,2016,13288.58,63.8,False
VEH-00130,BSNDSHJDPCFUGHLXL,Ford,F-150,2023,11759.12,97.3,False
VEH-00131,SIIZAUCBLDLTMDFQU,Honda,Accord,2021,25265.51,85.9,False
VEH-00132,SPTYKTUHFHTCOXFHT,Toyota,Camry,2019,36618.86,73.7,False
VEH-00133,YUYGNKYJYCXKVKQJK,Chevrolet,Silverado,2017,39209.87,68.7,False
VEH-00134,JLXTDATTUXCSOLHIM,BMW,3 Series,2020,14284.72,70.9,False
VEH-00135,ANWQADFFIZAMFPNLQ,Jeep,Grand Cherokee,2023,53829.14,91.9,False
VEH-00136,EDACFMMAPJRNOJNDL,BMW,3 Series,2015,37013.77,85.7,False
VEH-00137,JDPWCJCQKMTVFDGAL,Toyota,Camry,2017,21570.44,89.7,False
VEH-00138,KRSNQSSMKYJLDVLXC,Nissan,Altima,2015,17344.66,65.6,False
VEH-00139,FXTUXYEWBJESEIHSR,Honda,Accord,2017,43084.58,97.9,False
VEH-00140,VHAHNSNNDGKUOHFEU,BMW,3 Series,2018,26304.94,77.7,False
VEH-00141,SMYTSBMUQHKNWINKF,Tesla,Model 3,2020,44734.44,82.1,False
VEH-00142,HUOFFZLNOTSMAHBDO,Toyota,Camry,2017,16240.86,84.1,False
VEH-00143,YHVNZNAACVWJZONAO,Tesla,Model 3,2022,39449.18,78.9,False
VEH-00144,MSSQYETTGJUXAHRVV,Tesla,Model 3,2018,43727.38,64.4,False
VEH-00145,ZUKNBLMVVREEZCPIE,Tesla,Model 3,2025,40210.37,79.0,False
VEH-00146,JODIVDYAVDHTKURUJ,Toyota,Camry,2018,27182.12,83.4,True
VEH-00147,IBNKRVZYWEJRBVYOI,Tesla,Model 3,2018,44298.08,89.8,False
VEH-00148,KKMYLMHYWTTUTCRAF,Honda,Accord,2015,31879.73,76.8,False
VEH-00149,FPXCTNHTLHXYCXMFC,BMW,3 Series,2018,32012.07,92.5,False
VEH-00150,GBZEGJMVEUHTXUJXG,Honda,Accord,2021,48641.16,61.6,True
VEH-00151,HRINUCDYTHHATCRMF,Honda,Accord,2020,35484.92,82.4,False
VEH-00152,VDCGHXQVTBKWTONUM,Jeep,Grand Cherokee,2019,14297.98,60.8,False
VEH-00153,MSRIUXCQHRJKRHANJ,Hyundai,Elantra,2022,47273.19,95.9,False
VEH-00154,GGNIWJURJTZSKPKET,Honda,Accord,2018,29041.12,75.6,True
VEH-00155,NVICDIBERDGYDFBZL,Tesla,Model 3,2020,19192.31,90.4,True
VEH-00156,TMLOSSCNWTVMTWQZI,Honda,Accord,2023,32457.79,95.3,False
VEH-00157,FWWDKIFZSDGDTRPTX,Ford,F-150,2018,13729.01,70.0,False
VEH-00158,DEOOJNQXZLSQVYUDF,Ford,F-150,2025,12466.25,97.1,False
VEH-00159,BEEHWEDKSXWMKIGGZ,Subaru,Outback,2024,43954.35,77.5,False
VEH-00160,TYGUJPEYTIDZLAPNP,Hyundai,Elantra,2025,38223.72,84.4,False
VEH-00161,JKEYEVNSLBYBKYVIS,Nissan,Altima,2017,29229.09,78.3,False
VEH-00162,PLQQEVTKFHLMDUJGC,Tesla,Model 3,2024,11583.92,79.8,False
VEH-00163,LTZEMGRMXYUFPQDFN,Subaru,Outback,2015,11616.94,92.4,True
VEH-00164,ILWOZAWJQJCISYNKC,Honda,Accord,2024,36327.67,75.0,False
VEH-00165,MNRUTKYRTBTWFLANG,Toyota,Camry,2022,50816.3,82.3,False
VEH-00166,ZISDXJDATJWHSBPBS,Hyundai,Elantra,2022,32062.9,97.4,False
VEH-00167,LZOUTYZYBINQLEIMJ,Nissan,Altima,2016,32209.25,66.7,False
VEH-00168,YXAJSQIIAEPBJUFQB,Subaru,Outback,2022,33107.15,83.8,False
VEH-00169,IFIPZADYSMBNLDGBJ,Tesla,Model 3,2021,27803.39,73.2,False
VEH-00170,CYWOLBMAKFUPTGRAI,Nissan,Altima,2016,24165.77,81.8,False
VEH-00171,KXCCKETXHLESFJUUH,Tesla,Model 3,2025,53362.86,83.5,False
VEH-00172,WXRDHFHNFPEOVQQER,Honda,Accord,2024,39526.16,95.8,False
VEH-00173,OIZLTNDVIXAEDGEKU,Jeep,Grand Cherokee,2017,36371.9,96.6,False
VEH-00174,VAWZSSKCSMVTUYKQD,Jeep,Grand Cherokee,2025,45416.45,91.7,False
VEH-00175,OELKKDQSZVNBSFFIG,BMW,3 Series,2016,38717.14,76.5,False
VEH-00176,EYRQINRRQAVHMLLVJ,Nissan,Altima,2019,17292.09,68.4,False
VEH-00177,QCXZLQYSPFLZHCVFJ,Subaru,Outback,2018,19420.98,65.4,True
VEH-00178,MJFWAXYPQCUOKNKUW,Honda,Accord,2023,44460.24,92.6,False
VEH-00179,DPQWHDKDZETEVWIOY,Toyota,Camry,2025,24491.16,89.9,False
VEH-00180,RTYEQJHBASZCYRUHR,Jeep,Grand Cherokee,2017,16463.37,92.4,False
VEH-00181,CGIOWBNPRVRRZGQPL,Ford,F-150,2022,11009.85,74.2,False
VEH-00182,ZDXRVPURLXMHVRSLU,Subaru,Outback,2024,22106.68,89.2,False
VEH-00183,JARAEAAGHGRCWOUSQ,BMW,3 Series,2018,23235.52,91.5,False
VEH-00184,MCBNFDMQNMOHTHFMI,Chevrolet,Silverado,2020,40202.11,82.2,False
VEH-00185,YQWPKZLHSLQSDQEOD,Tesla,Model 3,2021,32133.71,76.3,False
VEH-00186,RXBSQXXUQKXERXDYY,Chevrolet,Silverado,2024,15366.33,69.8,False
VEH-00187,VDQQLCEFMNZLPFGJI,Nissan,Altima,2023,51977.5,87.7,False
VEH-00188,XBNNPGCTQGCEEKUQX,Honda,Accord,2019,12858.26,66.3,False
VEH-00189,CBFJPOACQYRJSVZKA,BMW,3 Series,2017,47228.15,63.6,False
VEH-00190,GTXFEBZUXZYEIOAYS,Subaru,Outback,2020,51801.71,76.2,False
VEH-00191,XEHKIWVRTZDOPFXIV,Nissan,Altima,2018,26763.64,63.2,False
VEH-00192,FDWXSPMLJCYQMTSYG,Nissan,Altima,2016,47602.11,85.3,False
VEH-00193,OSWFFOCVMICMBULPF,Ford,F-150,2015,22196.45,92.4,False
VEH-00194,YEYIPTFIZCBCVDVYU,Ford,F-150,2022,29635.67,60.2,True
VEH-00195,CZHNZPQHDRIJVLOEC,Tesla,Model 3,2018,47408.3,81.4,False
VEH-00196,VJFPBENCPSPIALODT,BMW,3 Series,2021,14114.6,71.2,False
VEH-00197,YGDNKLEGHFMZNOEZM,Toyota,Camry,2018,28311.98,91.0,False
VEH-00198,BVZVRZUHRKIIUYNWC,Honda,Accord,2022,36450.0,60.6,False
VEH-00199,LLVEHRJWAKSXJKCPL,Chevrolet,Silverado,2017,22398.51,60.1,False
VEH-00200,CIGYONYXKBFFAALFT,Hyundai,Elantra,2021,17616.44,86.1,False
VEH-00201,PLSASZYXESINJORHC,Nissan,Altima,2016,52856.57,81.2,False
VEH-00202,APLNSCMLTFNFOYTWA,BMW,3 Series,2023,9935.38,94.1,True
VEH-00203,AJPMHHGNXWIGODXOQ,Jeep,Grand Cherokee,2020,20667.91,60.6,False
VEH-00204,NRDMHYJREFLKQCDPX,Nissan,Altima,2018,42715.29,84.5,False
VEH-00205,SNBQVNZWDCGVDILKY,Nissan,Altima,2017,11039.44,81.3,False
VEH-00206,BFGHEPUCLLUAMVRUO,Ford,F-150,2025,30372.65,87.1,False
VEH-00207,XHUOGPVAMYOEELFDB,Ford,F-150,2016,41938.07,96.8,True
VEH-00208,JNNDLYXIDUMOWRMVI,Chevrolet,Silverado,2015,45391.02,94.5,False
VEH-00209,CSKDRIHDDAKWVOSMK,Tesla,Model 3,2023,27318.31,91.8,False
VEH-00210,YYONKKJOFAHFNLEDR,Toyota,Camry,2025,17790.76,73.9,False
VEH-00211,AUBVPPUBLOLJKAACC,Nissan,Altima,2019,14725.85,74.4,False
VEH-00212,EUXGCBHZEZZSGCFPF,Subaru,Outback,2021,24595.68,67.3,False
VEH-00213,JWASUANIWSPPFBEQT,Nissan,Altima,2023,21269.15,63.2,False
VEH-00214,KTDKVLBDDXITZLYXO,Jeep,Grand Cherokee,2024,54774.52,67.0,False
VEH-00215,DTOAOEYSVHCSBWRSN,Honda,Accord,2016,24084.32,71.5,False
VEH-00216,IKYNYRFNVVDGRXDHY,Jeep,Grand Cherokee,2017,40729.18,73.7,True
VEH-00217,XDNCXXLPJTEJTXNIV,Nissan,Altima,2024,54914.93,70.7,False
VEH-00218,PIHPEVWLSNWVWOUWR,Toyota,Camry,2016,39874.46,75.8,False
VEH-00219,GRBRDEXWCFGHHETIR,Ford,F-150,2015,15567.86,83.7,False
VEH-00220,ISCNXZRSZEMDFFZLS,Toyota,Camry,2017,12092.73,90.4,False
