PolicyId,PolicyholderId,State,EffectiveDate,ExpirationDate,CoverageTypes,DeductibleCollision,DeductibleComprehensive,LiabilityLimitPerPerson,LiabilityLimitPerAccident,Endorsements,Status
POL-00041,PH-00041,OH,2024-12-09,2025-12-09,UM/UIM;Comprehensive;Collision,500,250,250000,300000,Rental Reimbursement,Active
POL-00042,PH-00042,MO,2026-07-05,2027-07-05,Collision;Comprehensive;Liability,250,1000,25000,100000,Rental Reimbursement,Active
POL-00043,PH-00043,IN,2024-11-15,2025-11-15,Liability;Comprehensive,250,1000,25000,100000,None,Active
POL-00044,PH-00044,WI,2024-09-30,2025-09-30,UM/UIM;Liability;Comprehensive,250,250,100000,100000,Custom Equipment,Active
POL-00045,PH-00045,FL,2026-07-05,2027-07-05,Comprehensive;Liability;Collision,500,250,250000,300000,Roadside Assistance,Active
POL-00046,PH-00046,WI,2026-07-25,2027-07-25,Collision;Comprehensive,1500,1000,25000,300000,Gap Coverage,Active
POL-00047,PH-00047,MI,2026-07-10,2027-07-10,Comprehensive;UM/UIM;Collision;Liability,500,500,250000,100000,Custom Equipment,Active
POL-00048,PH-00048,IN,2025-02-19,2026-02-19,Collision;Liability;UM/UIM,500,1000,25000,500000,Gap Coverage,Active
POL-00049,PH-00049,FL,2024-01-01,2024-12-31,Collision;UM/UIM;Liability;Comprehensive,500,500,25000,500000,Roadside Assistance,Active
POL-00050,PH-00050,GA,2025-11-13,2026-11-13,Collision;Liability,1000,1000,25000,50000,Rental Reimbursement,Active
POL-00051,PH-00051,MO,2026-01-23,2027-01-23,Collision;UM/UIM;Liability;Comprehensive,1000,100,50000,100000,None,Active
POL-00052,PH-00052,MI,2025-02-02,2026-02-02,UM/UIM;Liability;Comprehensive;Collision,500,500,100000,500000,Gap Coverage,Active
POL-00053,PH-00053,OH,2024-03-16,2025-03-16,Comprehensive;Collision;UM/UIM;Liability,1500,1000,25000,500000,Roadside Assistance,Active
POL-00054,PH-00054,FL,2023-08-26,2024-08-25,Comprehensive;Collision,1500,100,50000,100000,None,Active
POL-00055,PH-00055,GA,2024-03-05,2025-03-05,UM/UIM;Collision;Liability,500,500,50000,500000,Custom Equipment,Active
POL-00056,PH-00056,FL,2025-10-18,2026-10-18,UM/UIM;Comprehensive,1000,500,250000,500000,Gap Coverage,Active
POL-00057,PH-00057,MI,2024-10-16,2025-10-16,Comprehensive;Liability,500,1000,50000,50000,Custom Equipment,Active
POL-00058,PH-00058,MI,2025-03-07,2026-03-07,Liability;Comprehensive,250,100,250000,100000,Rental Reimbursement,Active
POL-00059,PH-00059,MO,2025-08-28,2026-08-28,Collision;Liability,500,1000,100000,50000,Custom Equipment,Active
POL-00060,PH-00060,GA,2025-05-07,2026-05-07,UM/UIM;Comprehensive;Collision;Liability,250,1000,25000,50000,Custom Equipment,Active
POL-00061,PH-00061,OH,2025-01-15,2026-01-15,Comprehensive;UM/UIM;Collision;Liability,1500,250,25000,50000,Custom Equipment,Active
POL-00062,PH-00062,FL,2024-04-15,2025-04-15,Collision;Liability,1000,500,100000,500000,None,Active
POL-00063,PH-00063,IL,2024-01-12,2025-01-11,UM/UIM;Collision;Liability,500,500,25000,50000,None,Active
POL-00064,PH-00064,IL,2024-07-09,2025-07-09,UM/UIM;Collision;Comprehensive,250,100,50000,50000,Gap Coverage,Active
POL-00065,PH-00065,IL,2024-04-02,2025-04-02,Comprehensive;UM/UIM;Liability,250,250,50000,500000,Roadside Assistance,Active
POL-00066,PH-00066,MI,2025-09-25,2026-09-25,Liability;Comprehensive,1000,100,50000,300000,None,Active
POL-00067,PH-00067,MI,2024-07-14,2025-07-14,Collision;Comprehensive,1500,100,100000,100000,Custom Equipment,Active
POL-00068,PH-00068,AZ,2024-05-24,2025-05-24,UM/UIM;Comprehensive,1000,1000,50000,50000,Custom Equipment,Active
POL-00069,PH-00069,GA,2025-12-20,2026-12-20,Comprehensive;Liability;UM/UIM;Collision,500,100,100000,500000,Roadside Assistance,Active
POL-00070,PH-00070,OH,2026-03-15,2027-03-15,Comprehensive;Collision,1500,250,100000,500000,Gap Coverage,Active
POL-00071,PH-00071,TX,2026-07-12,2027-07-12,UM/UIM;Liability,1000,250,25000,50000,Roadside Assistance,Active
POL-00072,PH-00072,IL,2025-10-30,2026-10-30,UM/UIM;Comprehensive,500,1000,100000,300000,None,Active
POL-00073,PH-00073,OH,2025-11-09,2026-11-09,Liability;Collision,1500,500,100000,50000,Rental Reimbursement,Active
POL-00074,PH-00074,MO,2025-12-09,2026-12-09,Collision;UM/UIM,1500,1000,25000,50000,None,Active
POL-00075,PH-00075,MI,2026-07-31,2027-07-31,Liability;Comprehensive;Collision,1500,100,100000,500000,Gap Coverage,Active
POL-00076,PH-00076,TX,2024-01-30,2025-01-29,Collision;Comprehensive,500,1000,50000,100000,Roadside Assistance,Active
POL-00077,PH-00077,MI,2025-05-15,2026-05-15,Comprehensive;Collision;Liability,250,250,250000,300000,Gap Coverage,Active
POL-00078,PH-00078,FL,2025-07-21,2026-07-21,UM/UIM;Liability;Collision,1000,250,250000,100000,Gap Coverage,Active
POL-00079,PH-00079,FL,2023-12-02,2024-12-01,Collision;UM/UIM,250,1000,100000,500000,Roadside Assistance,Active
POL-00080,PH-00080,MI,2024-02-03,2025-02-02,Comprehensive;Collision;Liability,1000,500,50000,500000,Roadside Assistance,Active
POL-00081,PH-00081,GA,2024-02-25,2025-02-24,UM/UIM;Collision,1000,1000,50000,300000,Gap Coverage,Active
POL-00082,PH-00082,IL,2023-09-01,2024-08-31,UM/UIM;Collision;Liability,500,250,25000,500000,Rental Reimbursement,Active
POL-00083,PH-00083,TX,2025-08-19,2026-08-19,Comprehensive;UM/UIM;Liability,1500,1000,50000,300000,Rental Reimbursement,Active
POL-00084,PH-00084,GA,2025-01-27,2026-01-27,Collision;Comprehensive;UM/UIM,1500,100,250000,500000,Custom Equipment,Active
POL-00085,PH-00085,FL,2024-12-02,2025-12-02,UM/UIM;Comprehensive;Liability,1000,100,25000,100000,Roadside Assistance,Active
POL-00086,PH-00086,WI,2026-07-14,2027-07-14,Liability;Comprehensive,1500,500,250000,50000,None,Active
POL-00087,PH-00087,AZ,2025-02-19,2026-02-19,Comprehensive;Liability,500,1000,100000,500000,Gap Coverage,Active
POL-00088,PH-00088,MO,2024-03-08,2025-03-08,Collision;UM/UIM;Liability;Comprehensive,250,500,250000,50000,None,Active
POL-00089,PH-00089,GA,2025-06-22,2026-06-22,Collision;UM/UIM;Comprehensive;Liability,1500,250,250000,300000,Gap Coverage,Active
POL-00090,PH-00090,FL,2026-02-19,2027-02-19,UM/UIM;Comprehensive,1500,500,25000,300000,None,Active
POL-00091,PH-00091,FL,2025-10-26,2026-10-26,Liability;UM/UIM;Collision;Comprehensive,500,250,50000,100000,Roadside Assistance,Active
POL-00092,PH-00092,OH,2025-01-18,2026-01-18,UM/UIM;Collision;Liability;Comprehensive,500,250,250000,500000,None,Active
POL-00093,PH-00093,MI,2024-04-29,2025-04-29,Collision;UM/UIM;Comprehensive;Liability,250,250,50000,300000,None,Active
POL-00094,PH-00094,AZ,2024-11-21,2025-11-21,Liability;Comprehensive;UM/UIM;Collision,1000,250,250000,50000,Roadside Assistance,Active
POL-00095,PH-00095,IL,2023-09-19,2024-09-18,UM/UIM;Comprehensive;Collision;Liability,1500,100,100000,300000,Gap Coverage,Active
POL-00096,PH-00096,AZ,2024-02-06,2025-02-05,Collision;Comprehensive;UM/UIM;Liability,500,500,25000,100000,Roadside Assistance,Active
POL-00097,PH-00097,WI,2024-07-16,2025-07-16,Collision;UM/UIM,500,1000,250000,100000,Custom Equipment,Active
POL-00098,PH-00098,MO,2024-02-21,2025-02-20,UM/UIM;Liability;Collision,500,250,250000,300000,Rental Reimbursement,Active
POL-00099,PH-00099,IN,2026-07-19,2027-07-19,Comprehensive;Collision,250,500,25000,500000,Rental Reimbursement,Active
POL-00100,PH-00100,MO,2024-03-14,2025-03-14,UM/UIM;Comprehensive,1500,1000,250000,500000,Gap Coverage,Active
POL-00101,PH-00101,AZ,2026-07-09,2027-07-09,Collision;Liability;Comprehensive,500,500,25000,300000,Rental Reimbursement,Active
POL-00102,PH-00102,OH,2024-07-22,2025-07-22,Comprehensive;Liability;Collision;UM/UIM,250,100,100000,300000,Custom Equipment,Active
POL-00103,PH-00103,WI,2024-11-25,2025-11-25,UM/UIM;Comprehensive,500,1000,25000,100000,Roadside Assistance,Active
POL-00104,PH-00104,OH,2024-02-16,2025-02-15,UM/UIM;Collision,1000,100,250000,50000,Rental Reimbursement,Active
POL-00105,PH-00105,IN,2024-06-26,2025-06-26,Comprehensive;UM/UIM,1500,250,50000,100000,Rental Reimbursement,Active
POL-00106,PH-00106,WI,2024-02-24,2025-02-23,Comprehensive;UM/UIM,1000,250,100000,300000,Roadside Assistance,Active
POL-00107,PH-00107,FL,2023-12-06,2024-12-05,Comprehensive;UM/UIM;Liability;Collision,1500,100,100000,100000,Rental Reimbursement,Active
POL-00108,PH-00108,FL,2025-05-26,2026-05-26,Collision;Comprehensive,1000,250,250000,500000,Rental Reimbursement,Active
POL-00109,PH-00109,OH,2026-07-14,2027-07-14,Comprehensive;UM/UIM;Collision;Liability,1500,100,25000,500000,Custom Equipment,Active
POL-00110,PH-00110,OH,2024-01-26,2025-01-25,Comprehensive;UM/UIM;Collision;Liability,1500,500,25000,50000,Gap Coverage,Active
POL-00111,PH-00111,WI,2023-12-04,2024-12-03,Comprehensive;Liability;Collision;UM/UIM,1500,250,250000,300000,Roadside Assistance,Active
POL-00112,PH-00112,MO,2023-09-04,2024-09-03,Comprehensive;UM/UIM;Liability,1500,500,25000,50000,None,Active
POL-00113,PH-00113,WI,2025-08-27,2026-08-27,UM/UIM;Liability;Comprehensive;Collision,1500,1000,25000,500000,Rental Reimbursement,Active
POL-00114,PH-00114,IL,2025-06-05,2026-06-05,Collision;Comprehensive;UM/UIM;Liability,1000,100,100000,300000,None,Active
POL-00115,PH-00115,WI,2023-10-11,2024-10-10,Collision;Liability;UM/UIM,1000,250,250000,50000,None,Active
POL-00116,PH-00116,IN,2024-06-06,2025-06-06,Collision;UM/UIM,250,250,50000,500000,None,Active
POL-00117,PH-00117,IN,2024-01-20,2025-01-19,Comprehensive;Liability,1500,250,250000,50000,Rental Reimbursement,Active
POL-00118,PH-00118,TX,2023-09-25,2024-09-24,Liability;Comprehensive;UM/UIM,250,500,100000,300000,Rental Reimbursement,Active
POL-00119,PH-00119,OH,2026-05-26,2027-05-26,Collision;Comprehensive;Liability,250,100,50000,500000,Roadside Assistance,Active
POL-00120,PH-00120,MO,2025-10-11,2026-10-11,Collision;Comprehensive;Liability;UM/UIM,1500,250,25000,50000,Rental Reimbursement,Active
POL-00121,PH-00121,TX,2026-02-12,2027-02-12,UM/UIM;Collision,1500,500,50000,100000,Roadside Assistance,Active
POL-00122,PH-00122,MO,2023-11-06,2024-11-05,Liability;UM/UIM;Collision;Comprehensive,1000,250,50000,500000,Roadside Assistance,Active
POL-00123,PH-00123,MI,2025-08-03,2026-08-03,Liability;UM/UIM;Collision;Comprehensive,250,250,250000,50000,Custom Equipment,Active
POL-00124,PH-00124,MO,2024-02-06,2025-02-05,Comprehensive;Collision,500,1000,250000,300000,Custom Equipment,Active
POL-00125,PH-00125,TX,2024-09-02,2025-09-02,Collision;UM/UIM;Liability;Comprehensive,250,100,100000,100000,None,Active
POL-00126,PH-00126,MI,2023-10-12,2024-10-11,UM/UIM;Comprehensive,1000,1000,250000,500000,None,Active
POL-00127,PH-00127,IN,2023-11-16,2024-11-15,Collision;UM/UIM;Liability;Comprehensive,250,250,50000,300000,Gap Coverage,Active
POL-00128,PH-00128,MO,2024-11-16,2025-11-16,Liability;Collision;Comprehensive;UM/UIM,250,250,25000,500000,None,Active
POL-00129,PH-00129,MI,2026-06-08,2027-06-08,Liability;Collision;UM/UIM,250,100,50000,50000,Rental Reimbursement,Active
POL-00130,PH-00130,OH,2023-08-21,2024-08-20,Comprehensive;UM/UIM;Collision,500,500,50000,300000,None,Active
POL-00131,PH-00131,GA,2024-01-02,2025-01-01,Comprehensive;Collision,1000,100,100000,50000,Gap Coverage,Active
POL-00132,PH-00132,GA,2024-02-14,2025-02-13,Comprehensive;Liability;Collision,500,500,50000,300000,None,Active
POL-00133,PH-00133,MI,2026-02-25,2027-02-25,Liability;UM/UIM;Comprehensive;Collision,250,250,25000,500000,Roadside Assistance,Active
POL-00134,PH-00134,MI,2024-06-20,2025-06-20,Collision;Liability;Comprehensive,1500,250,100000,100000,Gap Coverage,Active
POL-00135,PH-00135,OH,2026-02-03,2027-02-03,Comprehensive;Collision;Liability;UM/UIM,250,100,50000,100000,Custom Equipment,Active
POL-00136,PH-00136,FL,2024-06-11,2025-06-11,UM/UIM;Liability,1500,500,100000,300000,None,Active
POL-00137,PH-00137,FL,2024-05-19,2025-05-19,UM/UIM;Liability;Collision;Comprehensive,1000,500,50000,500000,Roadside Assistance,Active
POL-00138,PH-00138,OH,2026-06-12,2027-06-12,UM/UIM;Liability;Comprehensive;Collision,250,1000,25000,100000,Custom Equipment,Active
POL-00139,PH-00139,WI,2025-02-02,2026-02-02,Liability;Collision;UM/UIM,1500,500,25000,100000,Custom Equipment,Active
POL-00140,PH-00140,TX,2023-09-20,2024-09-19,UM/UIM;Collision,250,250,100000,50000,None,Active
POL-00141,PH-00141,MO,2023-12-25,2024-12-24,UM/UIM;Comprehensive,1000,1000,25000,50000,Custom Equipment,Active
POL-00142,PH-00142,FL,2024-03-19,2025-03-19,UM/UIM;Liability,250,1000,50000,100000,Roadside Assistance,Active
POL-00143,PH-00143,AZ,2024-10-09,2025-10-09,Comprehensive;Collision;UM/UIM,1000,1000,100000,100000,None,Active
POL-00144,PH-00144,TX,2026-01-22,2027-01-22,Collision;Comprehensive,250,250,25000,100000,Gap Coverage,Active
POL-00145,PH-00145,FL,2025-01-27,2026-01-27,Comprehensive;Collision;Liability,1000,250,250000,300000,Gap Coverage,Active
POL-00146,PH-00146,OH,2025-02-03,2026-02-03,Liability;UM/UIM;Comprehensive,1000,100,50000,300000,Rental Reimbursement,Active
POL-00147,PH-00147,OH,2024-04-11,2025-04-11,Collision;UM/UIM,1500,100,100000,300000,Rental Reimbursement,Active
POL-00148,PH-00148,TX,2025-09-21,2026-09-21,UM/UIM;Collision,500,100,250000,50000,Rental Reimbursement,Active
POL-00149,PH-00149,WI,2026-03-15,2027-03-15,Liability;UM/UIM,500,250,50000,500000,Roadside Assistance,Active
POL-00150,PH-00150,TX,2024-08-15,2025-08-15,Liability;Comprehensive;Collision;UM/UIM,250,100,50000,500000,Rental Reimbursement,Active
POL-00151,PH-00151,IN,2025-09-28,2026-09-28,Comprehensive;Liability,250,1000,25000,100000,Custom Equipment,Active
POL-00152,PH-00152,TX,2026-01-07,2027-01-07,UM/UIM;Collision;Liability,1500,1000,50000,300000,Rental Reimbursement,Active
POL-00153,PH-00153,WI,2023-11-20,2024-11-19,Comprehensive;Collision,1500,250,25000,100000,Roadside Assistance,Active
POL-00154,PH-00154,AZ,2024-01-06,2025-01-05,UM/UIM;Comprehensive;Collision,250,100,100000,500000,Rental Reimbursement,Active
POL-00155,PH-00155,GA,2026-01-20,2027-01-20,Collision;Comprehensive;Liability,250,1000,100000,500000,Custom Equipment,Active
POL-00156,PH-00156,MI,2023-08-27,2024-08-26,Comprehensive;UM/UIM;Collision,1500,500,50000,50000,Roadside Assistance,Active
POL-00157,PH-00157,IN,2025-11-04,2026-11-04,Collision;Liability;UM/UIM;Comprehensive,1500,500,50000,100000,None,Active
POL-00158,PH-00158,AZ,2024-07-08,2025-07-08,Collision;UM/UIM,250,250,250000,300000,Rental Reimbursement,Active
POL-00159,PH-00159,MI,2024-05-29,2025-05-29,Collision;Comprehensive,1000,500,25000,300000,Custom Equipment,Active
POL-00160,PH-00160,MI,2024-10-16,2025-10-16,Collision;Comprehensive;Liability;UM/UIM,1000,250,250000,50000,None,Active
POL-00161,PH-00161,MI,2024-04-28,2025-04-28,Collision;Comprehensive,500,100,250000,50000,Roadside Assistance,Active
POL-00162,PH-00162,OH,2025-11-17,2026-11-17,Collision;Liability;UM/UIM;Comprehensive,1000,100,25000,100000,Custom Equipment,Active
POL-00163,PH-00163,AZ,2023-08-12,2024-08-11,Collision;Liability;UM/UIM;Comprehensive,1000,1000,25000,300000,Roadside Assistance,Active
POL-00164,PH-00164,TX,2024-01-06,2025-01-05,Collision;Liability;UM/UIM,1500,500,50000,300000,Rental Reimbursement,Active
POL-00165,PH-00165,IN,2024-07-03,2025-07-03,Collision;UM/UIM;Comprehensive;Liability,500,250,25000,500000,Custom Equipment,Active
POL-00166,PH-00166,OH,2025-09-27,2026-09-27,Collision;Comprehensive,1000,250,25000,500000,Rental Reimbursement,Active
POL-00167,PH-00167,FL,2025-08-12,2026-08-12,Liability;UM/UIM;Collision,1000,250,25000,300000,Gap Coverage,Active
POL-00168,PH-00168,MI,2025-02-25,2026-02-25,Comprehensive;Liability,500,100,100000,300000,None,Active
POL-00169,PH-00169,GA,2026-07-25,2027-07-25,Liability;UM/UIM;Collision;Comprehensive,1500,250,250000,500000,Gap Coverage,Active
POL-00170,PH-00170,AZ,2026-02-06,2027-02-06,UM/UIM;Liability;Collision,500,250,250000,50000,None,Active
POL-00171,PH-00171,GA,2024-05-19,2025-05-19,Liability;Collision;Comprehensive,250,100,100000,100000,Gap Coverage,Active
POL-00172,PH-00172,FL,2025-06-18,2026-06-18,Liability;Comprehensive,250,500,250000,50000,Gap Coverage,Active
POL-00173,PH-00173,FL,2026-06-17,2027-06-17,Collision;Comprehensive;UM/UIM;Liability,250,100,100000,100000,Rental Reimbursement,Active
POL-00174,PH-00174,GA,2024-01-19,2025-01-18,Comprehensive;UM/UIM;Collision,1000,250,25000,50000,Gap Coverage,Active
POL-00175,PH-00175,MI,2024-05-12,2025-05-12,UM/UIM;Liability;Comprehensive;Collision,250,1000,25000,300000,Custom Equipment,Active
POL-00176,PH-00176,FL,2025-02-07,2026-02-07,Collision;Liability;Comprehensive,500,250,100000,50000,Gap Coverage,Active
POL-00177,PH-00177,WI,2025-03-17,2026-03-17,Comprehensive;Collision,1500,1000,100000,50000,Custom Equipment,Active
POL-00178,PH-00178,WI,2025-05-25,2026-05-25,Collision;UM/UIM;Comprehensive,1000,250,250000,50000,Roadside Assistance,Active
POL-00179,PH-00179,MO,2024-07-03,2025-07-03,UM/UIM;Collision;Liability,1000,100,50000,50000,None,Active
POL-00180,PH-00180,IN,2025-10-12,2026-10-12,Comprehensive;UM/UIM;Collision;Liability,250,1000,250000,500000,Custom Equipment,Active
POL-00181,PH-00181,IN,2024-07-24,2025-07-24,UM/UIM;Collision,250,1000,25000,100000,None,Active
POL-00182,PH-00182,TX,2025-04-30,2026-04-30,Collision;Liability;Comprehensive,500,250,25000,500000,None,Active
POL-00183,PH-00183,TX,2024-01-28,2025-01-27,UM/UIM;Liability;Comprehensive;Collision,1000,100,25000,500000,Custom Equipment,Active
POL-00184,PH-00184,TX,2024-12-06,2025-12-06,Comprehensive;Collision;UM/UIM,250,1000,25000,500000,Rental Reimbursement,Active
POL-00185,PH-00185,AZ,2024-02-14,2025-02-13,Liability;UM/UIM,250,500,100000,500000,Roadside Assistance,Active
POL-00186,PH-00186,AZ,2025-07-29,2026-07-29,UM/UIM;Comprehensive;Collision,250,250,100000,500000,Rental Reimbursement,Active
POL-00187,PH-00187,MO,2024-01-24,2025-01-23,UM/UIM;Liability;Collision;Comprehensive,500,100,250000,300000,Roadside Assistance,Active
POL-00188,PH-00188,TX,2025-10-21,2026-10-21,Comprehensive;Collision,1000,500,250000,50000,Rental Reimbursement,Active
POL-00189,PH-00189,FL,2024-03-04,2025-03-04,Comprehensive;UM/UIM,1500,500,100000,500000,Custom Equipment,Active
POL-00190,PH-00190,GA,2025-09-14,2026-09-14,Liability;UM/UIM;Collision;Comprehensive,1500,1000,100000,50000,Custom Equipment,Active
POL-00191,PH-00191,GA,2025-02-17,2026-02-17,Liability;Collision,1500,250,25000,100000,Rental Reimbursement,Active
POL-00192,PH-00192,TX,2026-08-04,2027-08-04,Liability;UM/UIM,250,1000,25000,300000,Rental Reimbursement,Active
POL-00193,PH-00193,IN,2024-10-26,2025-10-26,Comprehensive;Collision;UM/UIM,250,100,50000,300000,Gap Coverage,Active
POL-00194,PH-00194,TX,2025-12-18,2026-12-18,UM/UIM;Liability;Collision;Comprehensive,1000,250,100000,50000,Roadside Assistance,Active
POL-00195,PH-00195,IL,2023-10-08,2024-10-07,UM/UIM;Liability,500,250,50000,100000,Rental Reimbursement,Active
POL-00196,PH-00196,IN,2023-12-11,2024-12-10,UM/UIM;Comprehensive;Liability,250,1000,50000,100000,Custom Equipment,Active
POL-00197,PH-00197,WI,2024-12-27,2025-12-27,Collision;UM/UIM,1000,500,250000,500000,Roadside Assistance,Active
POL-00198,PH-00198,GA,2025-09-10,2026-09-10,Comprehensive;Liability;Collision,1000,1000,25000,50000,Custom Equipment,Active
POL-00199,PH-00199,TX,2024-02-01,2025-01-31,Comprehensive;UM/UIM;Collision;Liability,250,1000,25000,300000,Roadside Assistance,Active
POL-00200,PH-00200,TX,2025-03-25,2026-03-25,Comprehensive;Collision;UM/UIM;Liability,500,250,50000,50000,Custom Equipment,Active
