ClaimId,PolicyId,VehicleId,DateOfLoss,DateReported,ReportedChannel,LossType,LossDescription,Location,Severity,ReserveEstimate,AssignedShopId,AssignedAdjusterId,Status,FraudFlag,SubrogationEligible
CLM-00019,POL-00194,VEH-00113,2025-11-15,2025-11-20,Portal,Collision,His police red total rate movement door kind account whether until truth feeling view series.,"Jasonburgh, TX",Minor,35580.62,SHOP-017,ADJ-003,Open,False,False
CLM-00020,POL-00023,VEH-00199,2026-07-30,2026-08-02,Portal,UM/UIM,Place these short image almost term statement wait likely include subject response theory.,"Port Ethanview, FL",Minor,7709.5,SHOP-022,ADJ-013,Open,False,False
CLM-00021,POL-00192,VEH-00201,2026-02-21,2026-02-25,Phone,Liability,Goal own spend scene law agree appear political.,"Gibbsberg, TX",Total Loss,40004.43,SHOP-005,ADJ-012,Closed,False,False
CLM-00022,POL-00187,VEH-00109,2025-08-10,2025-08-10,Phone,Comprehensive,Customer figure office book economic require should power candidate order improve vote later.,"West Glenn, MO",Minor,18218.41,SHOP-001,ADJ-015,In Review,False,False
CLM-00023,POL-00022,VEH-00095,2026-03-27,2026-03-28,Phone,Liability,Son cup increase consider then war this difference way type positive phone.,"South Jamesburgh, OH",Minor,7096.52,SHOP-021,ADJ-015,Open,False,True
CLM-00024,POL-00065,VEH-00111,2026-03-30,2026-03-30,Phone,Comprehensive,Chance when color note add moment significant up still management difference.,"East Sophia, IL",Moderate,21187.92,SHOP-019,ADJ-013,In Review,False,False
CLM-00025,POL-00075,VEH-00068,2026-06-20,2026-06-22,Portal,Collision,Explain management candidate task outside yet executive quality industry impact certainly.,"Theresabury, MI",Minor,16585.52,SHOP-019,ADJ-011,In Review,False,False
CLM-00026,POL-00061,VEH-00006,2026-04-05,2026-04-07,Portal,Collision,Traditional hard range leader action card follow realize rather require remain save eight believe.,"North Marvinbury, OH",Total Loss,15312.9,SHOP-011,ADJ-013,In Review,True,False
CLM-00027,POL-00094,VEH-00188,2026-02-07,2026-02-10,Phone,Comprehensive,You vote whose our security animal effect people few house he whose.,"New Harryburgh, AZ",Minor,33499.88,SHOP-008,ADJ-013,Open,True,False
CLM-00028,POL-00188,VEH-00174,2026-02-20,2026-02-23,Portal,UM/UIM,Us there car fish most center bring analysis campaign the strong security unit executive.,"Chloeview, TX",Minor,25183.89,SHOP-025,ADJ-015,Open,True,False
CLM-00029,POL-00036,VEH-00191,2026-02-25,2026-02-27,Phone,Collision,Job close say man wear new type PM key country approach consumer.,"Greenmouth, IL",Moderate,2178.79,SHOP-001,ADJ-013,In Review,False,False
CLM-00030,POL-00104,VEH-00081,2026-01-25,2026-01-25,Phone,Liability,Yet until American ground remember magazine manage suffer.,"North Michael, OH",Moderate,35063.72,SHOP-018,ADJ-006,Open,False,False
CLM-00031,POL-00058,VEH-00059,2025-10-27,2025-10-28,Portal,UM/UIM,Congress collection meet evening through one on will moment number indicate.,"East Kaylaville, MI",Moderate,22995.79,SHOP-003,ADJ-015,In Review,False,False
CLM-00032,POL-00158,VEH-00128,2026-07-19,2026-07-23,Phone,Comprehensive,Ago race quite hour opportunity week student child ball store process law.,"Brooketown, AZ",Minor,29946.07,SHOP-006,ADJ-015,Closed,False,False
CLM-00033,POL-00189,VEH-00153,2025-12-14,2025-12-16,Email,Collision,Prevent week foot rule same whatever notice.,"Port Brandon, FL",Minor,12484.58,SHOP-016,ADJ-005,Open,False,False
CLM-00034,POL-00172,VEH-00020,2026-04-15,2026-04-19,Email,Liability,Follow area audience weight high human concern whole tend become system.,"South Kimberly, FL",Minor,44142.07,SHOP-015,ADJ-001,Open,False,False
CLM-00035,POL-00181,VEH-00061,2025-11-27,2025-12-02,Portal,Liability,Building make it south financial rate capital program story.,"South Sean, IN",Moderate,29692.45,SHOP-019,ADJ-002,Open,False,False
CLM-00036,POL-00168,VEH-00193,2026-01-06,2026-01-10,Portal,Liability,Environmental outside bed institution happy control piece behavior message wind put positive require us.,"West Taylorland, MI",Minor,16398.09,SHOP-008,ADJ-010,Closed,False,False
CLM-00037,POL-00125,VEH-00085,2026-07-27,2026-07-31,Email,Collision,Feel worker range feel eat into notice necessary true message member including let result.,"Michaelshire, TX",Moderate,10965.59,SHOP-005,ADJ-011,In Review,False,False
CLM-00038,POL-00072,VEH-00087,2025-09-09,2025-09-10,Email,Comprehensive,Administration scientist leg skill successful and indicate region finish right serious last space game.,"East Jacob, IL",Minor,30021.05,SHOP-020,ADJ-015,Open,False,True
CLM-00039,POL-00030,VEH-00159,2026-01-24,2026-01-29,Phone,UM/UIM,Adult house actually pretty least if price season rise field spend pattern real white push.,"Christopherberg, TX",Moderate,37634.73,SHOP-019,ADJ-013,Open,False,False
CLM-00040,POL-00012,VEH-00154,2025-08-14,2025-08-18,Phone,Comprehensive,Born administration wife teacher decide possible power job personal so.,"North Kevin, OH",Minor,7291.44,SHOP-017,ADJ-013,Open,False,False
CLM-00041,POL-00047,VEH-00131,2026-02-04,2026-02-08,Email,Collision,Listen against coach check reflect white likely teacher one.,"West Ashley, MI",Severe,10373.43,SHOP-024,ADJ-012,In Review,False,False
CLM-00042,POL-00121,VEH-00031,2026-06-28,2026-06-29,Phone,Comprehensive,Anything account piece require woman support say other never fact maintain main opportunity.,"Hallton, TX",Severe,37064.03,SHOP-020,ADJ-008,Open,False,True
CLM-00043,POL-00068,VEH-00029,2025-11-21,2025-11-26,Email,Liability,Threat bring performance position large job claim risk light just medical onto rate.,"Andersonport, AZ",Total Loss,10957.77,SHOP-020,ADJ-015,Open,False,False
CLM-00044,POL-00028,VEH-00027,2026-05-16,2026-05-17,Email,UM/UIM,Where strategy pull same somebody son suddenly perform executive see project can current.,"Garciachester, MI",Severe,21833.42,SHOP-020,ADJ-007,In Review,False,False
CLM-00045,POL-00010,VEH-00073,2026-02-16,2026-02-16,Phone,UM/UIM,Doctor news yourself grow end quality company teacher me southern front.,"New Jeremyside, MO",Moderate,29496.04,SHOP-020,ADJ-013,In Review,False,True
CLM-00046,POL-00012,VEH-00154,2026-06-09,2026-06-10,Phone,UM/UIM,Show show news to table them page bit anyone watch sometimes while.,"North Kimberlyville, OH",Severe,36364.25,SHOP-013,ADJ-012,Closed,False,False
CLM-00047,POL-00179,VEH-00173,2026-06-24,2026-06-27,Email,Comprehensive,Among black picture that treat church factor kid media run between positive free case summer.,"Montestown, MO",Minor,13320.39,SHOP-025,ADJ-013,Closed,False,False
CLM-00048,POL-00105,VEH-00037,2025-11-12,2025-11-13,Phone,Collision,Game measure be head senior guess professor charge send instead direction soon including important.,"Cranehaven, IN",Moderate,6008.02,SHOP-001,ADJ-013,Open,False,False
CLM-00049,POL-00168,VEH-00193,2026-06-13,2026-06-18,Portal,Liability,Want kind show response military attorney full I sign its hotel also.,"New Brian, MI",Minor,29599.66,SHOP-004,ADJ-002,Open,False,False
CLM-00050,POL-00138,VEH-00143,2026-04-11,2026-04-15,Email,Liability,Win information though red them return finish general still too particular chair identify popular thought.,"Terryfurt, OH",Moderate,19064.68,SHOP-022,ADJ-006,In Review,False,False
CLM-00051,POL-00124,VEH-00180,2026-06-06,2026-06-08,Phone,UM/UIM,Thing base Mr hope rest they minute must degree memory.,"Adrienneburgh, MO",Minor,18397.34,SHOP-010,ADJ-015,Open,False,False
CLM-00052,POL-00169,VEH-00146,2025-08-18,2025-08-23,Email,Comprehensive,Three music else strategy fight institution measure.,"Port Nathanhaven, GA",Minor,10279.05,SHOP-023,ADJ-013,Open,False,False
CLM-00053,POL-00087,VEH-00017,2025-12-24,2025-12-25,Email,UM/UIM,Answer prepare by fear say law work south writer.,"West Kevin, AZ",Total Loss,21647.75,SHOP-001,ADJ-007,In Review,False,False
CLM-00054,POL-00023,VEH-00199,2026-04-25,2026-04-27,Phone,Comprehensive,Public research mind easy foreign old state guess better Republican stock bank artist thousand live.,"Millerhaven, FL",Minor,17787.21,SHOP-020,ADJ-013,Closed,False,False
CLM-00055,POL-00158,VEH-00128,2026-01-12,2026-01-17,Portal,Collision,Next single the once PM you ready way rule indicate clear media machine leader whose message.,"Lake Jasonfort, AZ",Total Loss,1273.4,SHOP-006,ADJ-013,Closed,False,False
CLM-00056,POL-00133,VEH-00210,2025-08-21,2025-08-22,Phone,Collision,Want hard weight own impact building occur American check.,"Kevinstad, MI",Severe,11039.86,SHOP-017,ADJ-015,Open,False,False
CLM-00057,POL-00010,VEH-00073,2025-12-04,2025-12-05,Portal,Collision,Magazine social central operation any thus threat democratic standard major business.,"Carloston, MO",Total Loss,16408.24,SHOP-003,ADJ-012,Open,False,False
CLM-00058,POL-00151,VEH-00182,2026-01-18,2026-01-22,Phone,Collision,Of not too sit little result paper seven measure leave last last term foot.,"Hughesfurt, IN",Moderate,13374.63,SHOP-003,ADJ-003,Closed,False,False
CLM-00059,POL-00150,VEH-00147,2025-12-18,2025-12-20,Portal,Liability,Animal provide kitchen everyone because close agent picture sign final population popular be western my.,"New Aimeefort, TX",Minor,26210.88,SHOP-007,ADJ-006,Open,False,False
CLM-00060,POL-00105,VEH-00037,2026-02-20,2026-02-24,Phone,Collision,Build view conference affect skill early relationship.,"Millerside, IN",Moderate,43086.55,SHOP-011,ADJ-003,Closed,False,False
CLM-00061,POL-00148,VEH-00183,2026-04-01,2026-04-06,Email,UM/UIM,I and technology age join increase teacher fish either boy between collection.,"East Jonathan, TX",Total Loss,34280.32,SHOP-019,ADJ-013,Closed,False,False
CLM-00062,POL-00118,VEH-00019,2025-09-12,2025-09-16,Portal,Collision,Fill imagine college pass foot agree around hope floor.,"Orozcoview, TX",Moderate,28807.85,SHOP-009,ADJ-003,Closed,False,False
CLM-00063,POL-00174,VEH-00192,2026-01-01,2026-01-03,Email,UM/UIM,Appear dream others door meet mean we especially five.,"Jonestown, GA",Total Loss,31776.18,SHOP-017,ADJ-015,Open,False,False
CLM-00064,POL-00074,VEH-00198,2026-01-14,2026-01-17,Portal,Liability,Trial affect never only big several prepare by nothing land.,"Port Tammy, MO",Minor,16426.38,SHOP-006,ADJ-006,Closed,False,False
CLM-00065,POL-00069,VEH-00032,2025-12-31,2026-01-05,Phone,Comprehensive,World site Mr interest treatment later a let stop eye will a value lot our.,"Kiddborough, GA",Moderate,11498.9,SHOP-007,ADJ-013,Open,False,True
CLM-00066,POL-00064,VEH-00065,2026-03-04,2026-03-05,Phone,Collision,Attorney bed recognize store rise your there decision measure soon this war play woman remain.,"Johnmouth, IL",Minor,22575.79,SHOP-003,ADJ-015,Open,False,False
CLM-00067,POL-00139,VEH-00169,2025-12-19,2025-12-22,Portal,Liability,Least outside administration reality position ability live top pull including.,"Farmerside, WI",Moderate,22493.6,SHOP-016,ADJ-010,Closed,False,False
CLM-00068,POL-00131,VEH-00217,2025-09-09,2025-09-12,Phone,Comprehensive,Much throughout staff knowledge but will heavy over.,"Thompsontown, GA",Severe,36127.73,SHOP-005,ADJ-007,Open,False,False
CLM-00069,POL-00139,VEH-00169,2025-09-26,2025-09-30,Email,Liability,Have cover act sea serve quite remember course staff personal space determine woman whose.,"West Trevorborough, WI",Minor,21008.06,SHOP-022,ADJ-015,Open,False,False
CLM-00070,POL-00133,VEH-00210,2025-08-11,2025-08-13,Phone,Collision,Worker point book everyone matter color create school public owner.,"North Brianna, MI",Minor,5253.05,SHOP-007,ADJ-011,Open,False,True
CLM-00071,POL-00048,VEH-00139,2025-11-05,2025-11-06,Portal,Liability,Rock ever summer age wide question pass quite third ability interview pull practice take follow.,"Hillhaven, IN",Moderate,8928.98,SHOP-020,ADJ-004,Open,True,False
CLM-00072,POL-00096,VEH-00116,2026-02-06,2026-02-09,Phone,Liability,Guess service this different everyone information large accept create bank occur agent scene within.,"Rosariobury, AZ",Moderate,31121.73,SHOP-019,ADJ-002,Closed,False,False
CLM-00073,POL-00185,VEH-00095,2025-10-24,2025-10-25,Phone,UM/UIM,Forget as personal agreement it agency something various subject.,"North Thomas, AZ",Severe,7410.02,SHOP-007,ADJ-008,Closed,False,False
CLM-00074,POL-00046,VEH-00179,2025-12-19,2025-12-22,Phone,Comprehensive,Start mind door authority outside just believe.,"Rileyland, WI",Total Loss,32648.77,SHOP-021,ADJ-015,In Review,False,False
CLM-00075,POL-00077,VEH-00048,2025-09-01,2025-09-05,Email,Collision,Help three really site artist sort area.,"Joneston, MI",Minor,10323.66,SHOP-023,ADJ-005,Open,False,False
CLM-00076,POL-00162,VEH-00175,2026-03-14,2026-03-17,Phone,Liability,Far high benefit sell do outside process.,"South Patrickchester, OH",Minor,41987.53,SHOP-012,ADJ-010,Open,False,False
CLM-00077,POL-00006,VEH-00133,2026-07-16,2026-07-16,Phone,Liability,People fund visit situation law foreign court bill organization attack smile cover of PM eight inside.,"Lopezberg, IL",Severe,26254.54,SHOP-020,ADJ-008,In Review,False,False
CLM-00078,POL-00045,VEH-00208,2026-06-14,2026-06-16,Phone,Liability,Art find job where senior find those.,"East Terrance, FL",Moderate,20554.31,SHOP-016,ADJ-015,Open,False,False
CLM-00079,POL-00158,VEH-00128,2026-03-31,2026-04-03,Portal,Comprehensive,Fact wife military price certain down standard nice area gas with policy.,"Port Casey, AZ",Severe,28702.28,SHOP-021,ADJ-012,In Review,False,False
CLM-00080,POL-00019,VEH-00205,2025-10-21,2025-10-22,Portal,Liability,Reason word outside former official white pattern industry class lawyer smile among detail about.,"Lake Jerry, OH",Minor,32201.16,SHOP-011,ADJ-013,In Review,True,False
CLM-00081,POL-00114,VEH-00098,2026-04-08,2026-04-13,Email,UM/UIM,Dream same weight former science day contain wrong guy available.,"New Dariusport, IL",Minor,32967.54,SHOP-006,ADJ-013,In Review,True,False
CLM-00082,POL-00102,VEH-00021,2026-01-27,2026-01-27,Email,Collision,Place tree growth wish current exist despite energy company suggest.,"East James, OH",Total Loss,1965.33,SHOP-016,ADJ-015,Open,False,True
CLM-00083,POL-00022,VEH-00095,2025-08-17,2025-08-19,Email,Comprehensive,Her skin book very figure drive special produce wait.,"Johnsland, OH",Minor,11734.93,SHOP-013,ADJ-014,Open,False,False
CLM-00084,POL-00161,VEH-00036,2025-09-24,2025-09-25,Portal,Comprehensive,Third capital couple mouth reason fish involve player TV.,"Port Amanda, MI",Minor,38999.46,SHOP-022,ADJ-014,Open,False,True
CLM-00085,POL-00070,VEH-00134,2026-04-10,2026-04-11,Phone,Comprehensive,Their surface why though decide bank likely professional ask meet seem.,"Victormouth, OH",Moderate,28904.62,SHOP-015,ADJ-015,In Review,False,False
CLM-00086,POL-00135,VEH-00025,2025-10-17,2025-10-19,Portal,UM/UIM,Republican moment low what listen ok point so power debate thus later.,"South Jeffery, OH",Moderate,16967.62,SHOP-003,ADJ-015,Open,False,False
CLM-00087,POL-00078,VEH-00094,2026-01-21,2026-01-21,Email,Comprehensive,Number very hear nearly care base know goal once let perform international.,"Reynoldsstad, FL",Minor,31199.43,SHOP-016,ADJ-015,Open,False,True
CLM-00088,POL-00077,VEH-00132,2025-10-17,2025-10-20,Portal,Liability,Doctor population grow bar successful mention poor skill unit better author although customer.,"Lake Mark, MI",Moderate,9134.84,SHOP-001,ADJ-010,Closed,False,True
CLM-00089,POL-00064,VEH-00194,2026-07-03,2026-07-08,Email,UM/UIM,Course page case talk respond myself end show example get you.,"Underwoodtown, IL",Severe,19462.98,SHOP-008,ADJ-012,Open,False,True
CLM-00090,POL-00157,VEH-00076,2025-10-05,2025-10-07,Email,Liability,Dinner rich decide do only need light sport future beat suffer investment walk.,"Clarkmouth, IN",Minor,13600.11,SHOP-003,ADJ-002,In Review,False,False
CLM-00091,POL-00159,VEH-00168,2026-07-06,2026-07-08,Email,UM/UIM,Air catch them figure scene matter probably great different international sell several real federal only.,"East Ericmouth, MI",Minor,43661.46,SHOP-001,ADJ-013,Open,False,True
CLM-00092,POL-00073,VEH-00003,2026-07-11,2026-07-12,Email,UM/UIM,Woman daughter hospital move could board notice later thus behavior bit need allow.,"Johnsonborough, OH",Moderate,1450.84,SHOP-008,ADJ-013,Open,False,True
CLM-00093,POL-00128,VEH-00058,2025-11-27,2025-11-30,Email,Collision,Do process attorney arm million commercial teacher improve church book.,"Mendozaland, MO",Minor,12579.46,SHOP-025,ADJ-005,Open,False,False
CLM-00094,POL-00140,VEH-00044,2026-01-07,2026-01-08,Email,Comprehensive,Candidate day it report little page voice onto maybe range.,"Jamesberg, TX",Severe,6190.7,SHOP-009,ADJ-013,In Review,False,False
CLM-00095,POL-00064,VEH-00065,2026-01-29,2026-02-01,Portal,Comprehensive,Station painting east forget notice make leg although.,"West Debbiemouth, IL",Moderate,33301.27,SHOP-002,ADJ-013,Open,True,False
CLM-00096,POL-00175,VEH-00120,2025-12-21,2025-12-23,Phone,Comprehensive,Hospital statement sure indeed conference pay it his probably recognize believe.,"East Nicoleburgh, MI",Moderate,23824.94,SHOP-002,ADJ-015,Open,False,False
CLM-00097,POL-00164,VEH-00170,2025-11-23,2025-11-24,Email,Liability,Mrs project at risk total training in seven building hard sense mean single improve close debate.,"South Anthonymouth, TX",Severe,11229.69,SHOP-022,ADJ-008,Open,False,False
CLM-00098,POL-00004,VEH-00193,2026-01-04,2026-01-06,Email,Collision,Second talk however action boy true force security machine attention nature drug.,"Taylorview, TX",Minor,26483.6,SHOP-008,ADJ-003,In Review,False,False
CLM-00099,POL-00177,VEH-00028,2026-07-01,2026-07-03,Phone,Collision,Color adult beyond family movement hospital back shake quality.,"South Michael, WI",Minor,28144.1,SHOP-016,ADJ-003,Closed,False,False
CLM-00100,POL-00195,VEH-00159,2025-11-01,2025-11-01,Email,Liability,Throughout mother kind answer play mission production.,"South Hannahmouth, IL",Moderate,6361.57,SHOP-023,ADJ-010,Open,False,False
CLM-00101,POL-00143,VEH-00172,2025-08-29,2025-09-01,Phone,Comprehensive,Above significant short up hear draw before instead writer front court protect determine think someone store.,"Lake Gary, AZ",Minor,6755.16,SHOP-013,ADJ-014,Closed,False,False
CLM-00102,POL-00125,VEH-00085,2026-01-17,2026-01-21,Phone,Liability,Blue force no couple debate must voice building degree ground community I first home learn.,"Lake Lisastad, TX",Moderate,9048.9,SHOP-016,ADJ-002,Open,False,False
CLM-00103,POL-00188,VEH-00174,2025-08-26,2025-08-28,Portal,Comprehensive,Those in should matter wrong Republican social two.,"West Susan, TX",Minor,37018.3,SHOP-005,ADJ-014,In Review,False,False
CLM-00104,POL-00117,VEH-00161,2026-03-29,2026-04-03,Phone,UM/UIM,Wonder recent question win really forward play this fish surface lot friend.,"Reyesbury, IN",Moderate,11354.37,SHOP-001,ADJ-015,In Review,False,False
CLM-00105,POL-00169,VEH-00127,2026-02-20,2026-02-21,Portal,UM/UIM,Relate actually again serve buy door investment during bag case material dark heart politics draw rise.,"Stevensonmouth, GA",Severe,15058.92,SHOP-005,ADJ-015,In Review,False,False
CLM-00106,POL-00029,VEH-00113,2025-09-30,2025-10-04,Email,Collision,Fish skin always social increase spend seek director run garden day.,"Lake Vanessabury, MO",Minor,9731.89,SHOP-005,ADJ-005,Open,False,False
CLM-00107,POL-00026,VEH-00171,2026-04-02,2026-04-06,Email,UM/UIM,Miss contain picture ask man west appear yeah voice by community nature.,"East William, IL",Moderate,16992.85,SHOP-017,ADJ-015,In Review,False,False
CLM-00108,POL-00019,VEH-00205,2026-01-21,2026-01-22,Phone,UM/UIM,Find return each computer eat experience large player even sit bag win huge cold.,"Hendersonchester, OH",Total Loss,3482.95,SHOP-003,ADJ-013,In Review,False,False
CLM-00109,POL-00107,VEH-00200,2026-05-31,2026-06-05,Email,Collision,Standard soldier after high take serve TV organization check.,"West Oscar, FL",Severe,33256.07,SHOP-009,ADJ-015,Closed,False,False
CLM-00110,POL-00020,VEH-00102,2025-12-05,2025-12-09,Portal,Collision,Exist no lose four resource cultural trouble above technology room hear identify indeed house.,"Patrickport, MO",Minor,9174.15,SHOP-008,ADJ-013,In Review,False,False
CLM-00111,POL-00064,VEH-00194,2026-04-14,2026-04-18,Phone,UM/UIM,Author those yeah buy usually class several whatever side seem give remember play happy around history.,"Fitzgeraldbury, IL",Moderate,21075.45,SHOP-025,ADJ-015,In Review,False,False
CLM-00112,POL-00027,VEH-00064,2026-02-10,2026-02-11,Phone,UM/UIM,Tv guess religious agreement program challenge painting.,"West John, MO",Moderate,44930.76,SHOP-022,ADJ-013,Open,False,False
CLM-00113,POL-00091,VEH-00063,2026-03-21,2026-03-25,Phone,Liability,Activity side popular true huge only too million country.,"Martinchester, FL",Severe,15096.53,SHOP-014,ADJ-013,Open,False,False
CLM-00114,POL-00140,VEH-00044,2025-11-15,2025-11-18,Portal,Liability,May mouth though only safe sell under thank body of something.,"West Kaitlyn, TX",Minor,808.65,SHOP-015,ADJ-006,Open,False,False
CLM-00115,POL-00073,VEH-00003,2026-08-05,2026-08-09,Portal,Comprehensive,Recognize according collection man best similar individual indicate explain issue computer control care.,"Whiteville, OH",Total Loss,44310.23,SHOP-010,ADJ-007,Open,False,False
CLM-00116,POL-00081,VEH-00155,2026-01-31,2026-02-05,Phone,Liability,Sport control arrive consumer service else total impact phone person than coach fall help everybody.,"Anthonybury, GA",Total Loss,41725.77,SHOP-017,ADJ-015,Open,False,False
CLM-00117,POL-00010,VEH-00073,2026-02-10,2026-02-12,Email,Comprehensive,Pull beyond article seem account old would best mission account owner would seven usually.,"Shermanchester, MO",Minor,11098.34,SHOP-012,ADJ-015,Closed,False,False
CLM-00118,POL-00024,VEH-00174,2025-12-17,2025-12-21,Portal,Comprehensive,Radio gas firm dream guess huge particularly wish their south able that.,"Hardyberg, TX",Moderate,8442.29,SHOP-024,ADJ-014,Closed,False,True
CLM-00119,POL-00148,VEH-00183,2025-11-25,2025-11-29,Email,Liability,Happy peace probably little including could worry whatever spend admit.,"Morganmouth, TX",Minor,35281.39,SHOP-019,ADJ-006,Closed,False,False
CLM-00120,POL-00086,VEH-00219,2026-04-29,2026-05-02,Phone,UM/UIM,Do machine school soldier give voice walk live probably record beyond his parent.,"Port Abigail, WI",Total Loss,29652.84,SHOP-004,ADJ-008,In Review,True,False
