PolicyId,VehicleId
POL-00062,VEH-00022
POL-00063,VEH-00090
POL-00064,VEH-00194
POL-00064,VEH-00065
POL-00065,VEH-00111
POL-00065,VEH-00148
POL-00066,VEH-00163
POL-00066,VEH-00040
POL-00067,VEH-00045
POL-00067,VEH-00089
POL-00068,VEH-00029
POL-00069,VEH-00032
POL-00070,VEH-00158
POL-00070,VEH-00134
POL-00071,VEH-00110
POL-00072,VEH-00087
POL-00073,VEH-00003
POL-00074,VEH-00198
POL-00075,VEH-00068
POL-00075,VEH-00097
POL-00076,VEH-00042
POL-00077,VEH-00132
POL-00077,VEH-00048
POL-00078,VEH-00094
POL-00078,VEH-00026
POL-00079,VEH-00069
POL-00080,VEH-00005
POL-00080,VEH-00001
POL-00081,VEH-00155
POL-00081,VEH-00062
POL-00082,VEH-00115
POL-00083,VEH-00145
POL-00084,VEH-00055
POL-00085,VEH-00218
POL-00086,VEH-00056
POL-00086,VEH-00219
POL-00087,VEH-00017
POL-00088,VEH-00012
POL-00089,VEH-00207
POL-00090,VEH-00126
POL-00091,VEH-00101
POL-00091,VEH-00063
POL-00092,VEH-00138
POL-00092,VEH-00152
POL-00093,VEH-00074
POL-00094,VEH-00188
POL-00095,VEH-00054
POL-00095,VEH-00071
POL-00096,VEH-00116
POL-00097,VEH-00002
POL-00098,VEH-00015
POL-00099,VEH-00140
POL-00100,VEH-00046
POL-00100,VEH-00196
POL-00101,VEH-00125
POL-00102,VEH-00021
POL-00103,VEH-00178
POL-00104,VEH-00081
POL-00105,VEH-00037
POL-00106,VEH-00118
POL-00107,VEH-00105
POL-00107,VEH-00200
POL-00108,VEH-00052
POL-00109,VEH-00216
POL-00110,VEH-00039
POL-00111,VEH-00160
POL-00112,VEH-00106
POL-00113,VEH-00206
POL-00114,VEH-00136
POL-00114,VEH-00098
POL-00115,VEH-00162
POL-00115,VEH-00129
POL-00116,VEH-00050
POL-00117,VEH-00161
POL-00118,VEH-00019
POL-00119,VEH-00149
POL-00120,VEH-00165
POL-00120,VEH-00014
POL-00121,VEH-00203
POL-00121,VEH-00031
POL-00122,VEH-00119
POL-00122,VEH-00184
POL-00123,VEH-00204
POL-00124,VEH-00180
POL-00124,VEH-00096
POL-00125,VEH-00085
POL-00126,VEH-00209
POL-00127,VEH-00079
POL-00128,VEH-00058
POL-00129,VEH-00091
POL-00129,VEH-00197
POL-00130,VEH-00023
POL-00130,VEH-00213
POL-00131,VEH-00086
POL-00131,VEH-00217
POL-00132,VEH-00215
POL-00133,VEH-00144
POL-00133,VEH-00210
POL-00134,VEH-00033
POL-00135,VEH-00121
POL-00135,VEH-00025
POL-00136,VEH-00211
POL-00137,VEH-00047
POL-00138,VEH-00143
POL-00139,VEH-00169
POL-00140,VEH-00044
POL-00141,VEH-00077
POL-00142,VEH-00130
POL-00143,VEH-00092
POL-00143,VEH-00172
POL-00144,VEH-00122
POL-00145,VEH-00164
POL-00146,VEH-00137
POL-00147,VEH-00176
POL-00147,VEH-00057
POL-00148,VEH-00183
POL-00149,VEH-00186
POL-00149,VEH-00088
POL-00150,VEH-00049
POL-00150,VEH-00147
POL-00151,VEH-00182
POL-00152,VEH-00150
POL-00153,VEH-00010
POL-00154,VEH-00189
POL-00155,VEH-00100
POL-00155,VEH-00220
POL-00156,VEH-00108
POL-00157,VEH-00067
POL-00157,VEH-00076
POL-00158,VEH-00128
POL-00159,VEH-00168
POL-00160,VEH-00007
POL-00160,VEH-00185
POL-00161,VEH-00036
POL-00162,VEH-00175
POL-00163,VEH-00082
POL-00164,VEH-00170
POL-00165,VEH-00104
POL-00165,VEH-00167
POL-00166,VEH-00053
POL-00167,VEH-00016
POL-00168,VEH-00193
POL-00169,VEH-00146
POL-00169,VEH-00127
POL-00170,VEH-00133
POL-00171,VEH-00034
POL-00171,VEH-00013
POL-00172,VEH-00020
POL-00173,VEH-00073
POL-00174,VEH-00192
POL-00175,VEH-00154
POL-00175,VEH-00120
POL-00176,VEH-00157
POL-00176,VEH-00107
POL-00177,VEH-00028
POL-00177,VEH-00151
POL-00178,VEH-00112
POL-00179,VEH-00173
POL-00180,VEH-00043
POL-00180,VEH-00141
POL-00181,VEH-00061
POL-00182,VEH-00205
POL-00183,VEH-00102
POL-00184,VEH-00195
POL-00185,VEH-00177
POL-00185,VEH-00095
POL-00186,VEH-00199
POL-00187,VEH-00109
POL-00188,VEH-00174
POL-00189,VEH-00153
POL-00190,VEH-00060
POL-00191,VEH-00171
POL-00192,VEH-00201
POL-00193,VEH-00064
POL-00193,VEH-00027
POL-00194,VEH-00113
POL-00195,VEH-00159
POL-00196,VEH-00078
POL-00196,VEH-00214
POL-00197,VEH-00072
POL-00198,VEH-00080
POL-00198,VEH-00004
POL-00199,VEH-00084
POL-00200,VEH-00035
